ID,merc_level,leech_cm,lipid_level,lipid_content,mercury,lipid_level2
P1,Below,0.056904851,Low,6.73,133,Low
P2,Below,0,Medium,9.45,172,Normal
P3,Below,0.120573931,Low,6.13,187,Low
P4,Above,-0.13667714,Medium,9.36,227,Normal
P5,Below,-0.148741651,Medium,10.78,152,Normal
P6,Below,0.605305046,Low,2.72,172,Low
P7,Below,-0.292429824,Medium,12.71,153,Normal
P8,Below,-0.823908741,Medium,7.27,138,Normal
P9,Below,-0.537602002,Medium,7.18,164,Normal
P10,Below,0.204119983,Low,6.96,151,Normal
P11,Below,-0.494850022,Medium,7.09,140,Normal
P12,Below,-0.036212173,High,19.99,142,Normal
P13,Below,-0.283996656,Medium,11.7,153,Normal
P14,Below,-0.107905397,Low,6.23,157,Low
P15,Below,-0.22184875,Medium,7.22,128,Normal
P16,Below,-0.537602002,Medium,9.96,126,Normal
P17,Above,-0.229147988,Medium,10.97,256,Normal
P19,Below,-0.180456064,Medium,9.13,174,Normal
P20,Below,-0.677780705,Low,5.52,180,Low
P23,Below,-0.026872146,Medium,7.18,159,Normal
P24,Above,-0.045757491,Medium,8.78,219,Normal
P25,Below,0.056904851,Medium,8.54,165,Normal
24_01,Above,-0.508638306,Medium,11.49,280,Normal
24_02,Below,-0.920818754,Medium,10.57,160,Normal
24_03,Below,-0.443697499,High,14.07,170,Normal
24_04,Below,-0.102372909,Medium,9.27,140,Normal
24_05,Above,-0.13076828,Medium,8.39,250,Normal
24_06,Below,0.068185862,High,15.14,170,Normal
24_07,Below,-0.080921908,Medium,11.61,160,Normal
24_08,Above,-0.677780705,Medium,10.04,750,Normal
24_09,Above,-0.070581074,Medium,9.93,220,Normal
24_10,Below,-0.494850022,Medium,9.8,140,Normal
24_11,Below,0.897077003,Low,1.21,100,Low
24_12,Above,-0.200659451,Low,4,240,Low
24_13,Above,-0.119186408,High,13.91,210,Normal
24_14,Above,-0.397940009,Low,6.4,220,Low
24_15,Below,-0.585026652,Medium,7.31,140,Normal
